"","Request.id","Pickup.point","Driver.id","Status","Request.timestamp","Drop.timestamp","Request.date","Request.day","Request.time","Request.hour","Drop.time","Drop.hour","Approx.travel.time","Request.time_slot"
"20",960,"Airport",3,"Trip Completed",2016-07-11 18:45:00,2016-07-11 19:23:00,"2016/07/11","Monday","18:45",18,"19:23","19",0.63,"Late afternoon"
"21",1934,"Airport",3,"Trip Completed",2016-07-12 11:17:00,2016-07-12 12:23:00,"2016/07/12","Tuesday","11:17",11,"12:23","12",1.1,"Late morning"
"22",2083,"Airport",3,"Trip Completed",2016-07-12 15:46:00,2016-07-12 16:40:00,"2016/07/12","Tuesday","15:46",15,"16:40","16",0.9,"Mid afternoon"
"23",2211,"Airport",3,"Trip Completed",2016-07-12 18:00:00,2016-07-12 18:28:00,"2016/07/12","Tuesday","18:00",18,"18:28","18",0.47,"Late afternoon"
"24",3096,"Airport",3,"Trip Completed",2016-07-13 08:17:00,2016-07-13 09:22:00,"2016/07/13","Wednesday","08:17",8,"09:22","09",1.08,"Early morning"
"25",3881,"Airport",3,"Trip Completed",2016-07-13 21:54:00,2016-07-13 22:51:00,"2016/07/13","Wednesday","21:54",21,"22:51","22",0.95,"Mid evening"
"26",5254,"City",3,"Trip Completed",2016-07-14 21:23:00,2016-07-14 22:25:00,"2016/07/14","Thursday","21:23",21,"22:25","22",1.03,"Mid evening"
"27",5434,"City",3,"Trip Completed",2016-07-15 02:41:00,2016-07-15 03:24:00,"2016/07/15","Friday","02:41",2,"03:24","03",0.72,"Early overnight"
"28",5916,"City",3,"Trip Completed",2016-07-15 10:00:00,2016-07-15 10:53:00,"2016/07/15","Friday","10:00",10,"10:53","10",0.88,"Mid morning"
"29",669,"City",4,"Trip Completed",2016-07-11 13:08:00,2016-07-11 13:49:00,"2016/07/11","Monday","13:08",13,"13:49","13",0.68,"Early afternoon"
"30",1567,"Airport",4,"Trip Completed",2016-07-12 06:21:00,2016-07-12 07:10:00,"2016/07/12","Tuesday","06:21",6,"07:10","07",0.82,"Late overnight"
"31",1826,"City",4,"Trip Completed",2016-07-12 09:27:00,2016-07-12 10:27:00,"2016/07/12","Tuesday","09:27",9,"10:27","10",1,"Mid morning"
"32",2102,"City",4,"Trip Completed",2016-07-12 16:09:00,2016-07-12 17:01:00,"2016/07/12","Tuesday","16:09",16,"17:01","17",0.87,"Mid afternoon"
"33",2847,"Airport",4,"Trip Completed",2016-07-13 05:34:00,2016-07-13 06:09:00,"2016/07/13","Wednesday","05:34",5,"06:09","06",0.58,"Late overnight"
"34",3722,"Airport",4,"Trip Completed",2016-07-13 19:57:00,2016-07-13 20:32:00,"2016/07/13","Wednesday","19:57",19,"20:32","20",0.58,"Early evening"
"35",4075,"City",4,"Trip Completed",2016-07-14 02:17:00,2016-07-14 03:21:00,"2016/07/14","Thursday","02:17",2,"03:21","03",1.07,"Early overnight"
"36",4686,"City",4,"Trip Completed",2016-07-14 13:01:00,2016-07-14 13:45:00,"2016/07/14","Thursday","13:01",13,"13:45","13",0.73,"Early afternoon"
"37",5771,"Airport",4,"Trip Completed",2016-07-15 08:30:00,2016-07-15 09:37:00,"2016/07/15","Friday","08:30",8,"09:37","09",1.12,"Early morning"
"38",6106,"Airport",4,"Trip Completed",2016-07-15 15:01:00,2016-07-15 15:47:00,"2016/07/15","Friday","15:01",15,"15:47","15",0.77,"Mid afternoon"
"39",312,"City",5,"Trip Completed",2016-07-11 07:27:00,2016-07-11 08:31:00,"2016/07/11","Monday","07:27",7,"08:31","08",1.07,"Early morning"
"40",577,"Airport",5,"Trip Completed",2016-07-11 11:03:00,2016-07-11 12:01:00,"2016/07/11","Monday","11:03",11,"12:01","12",0.97,"Late morning"
"41",1179,"City",5,"Trip Completed",2016-07-11 20:58:00,2016-07-11 21:45:00,"2016/07/11","Monday","20:58",20,"21:45","21",0.78,"Early evening"
"42",1756,"Airport",5,"Trip Completed",2016-07-12 08:40:00,2016-07-12 09:23:00,"2016/07/12","Tuesday","08:40",8,"09:23","09",0.72,"Early morning"
"43",2052,"City",5,"Trip Completed",2016-07-12 14:48:00,2016-07-12 15:50:00,"2016/07/12","Tuesday","14:48",14,"15:50","15",1.03,"Early afternoon"
"44",2559,"City",5,"Trip Completed",2016-07-12 21:32:00,2016-07-12 22:29:00,"2016/07/12","Tuesday","21:32",21,"22:29","22",0.95,"Mid evening"
"45",3014,"City",5,"Trip Completed",2016-07-13 07:28:00,2016-07-13 08:29:00,"2016/07/13","Wednesday","07:28",7,"08:29","08",1.02,"Early morning"
"46",3317,"City",5,"Trip Completed",2016-07-13 12:14:00,2016-07-13 12:46:00,"2016/07/13","Wednesday","12:14",12,"12:46","12",0.53,"Late morning"
"47",4297,"City",5,"Trip Completed",2016-07-14 06:43:00,2016-07-14 07:49:00,"2016/07/14","Thursday","06:43",6,"07:49","07",1.1,"Late overnight"
"48",5857,"Airport",5,"Trip Completed",2016-07-15 09:08:00,2016-07-15 10:07:00,"2016/07/15","Friday","09:08",9,"10:07","10",0.98,"Mid morning"
"49",6690,"Airport",5,"Trip Completed",2016-07-15 22:41:00,2016-07-15 23:51:00,"2016/07/15","Friday","22:41",22,"23:51","23",1.17,"Mid evening"
"50",1517,"Airport",6,"Trip Completed",2016-07-12 05:45:00,2016-07-12 06:28:00,"2016/07/12","Tuesday","05:45",5,"06:28","06",0.72,"Late overnight"
"51",1999,"Airport",6,"Trip Completed",2016-07-12 13:02:00,2016-07-12 13:51:00,"2016/07/12","Tuesday","13:02",13,"13:51","13",0.82,"Early afternoon"
"52",2960,"Airport",6,"Trip Completed",2016-07-13 06:50:00,2016-07-13 07:40:00,"2016/07/13","Wednesday","06:50",6,"07:40","07",0.83,"Late overnight"
"53",3882,"City",6,"Trip Completed",2016-07-13 21:53:00,2016-07-13 22:45:00,"2016/07/13","Wednesday","21:53",21,"22:45","22",0.87,"Mid evening"
"54",4081,"Airport",6,"Trip Completed",2016-07-14 02:37:00,2016-07-14 03:30:00,"2016/07/14","Thursday","02:37",2,"03:30","03",0.88,"Early overnight"
"55",4740,"City",6,"Trip Completed",2016-07-14 14:50:00,2016-07-14 15:38:00,"2016/07/14","Thursday","14:50",14,"15:38","15",0.8,"Early afternoon"
"56",5270,"City",6,"Trip Completed",2016-07-14 21:33:00,2016-07-14 22:25:00,"2016/07/14","Thursday","21:33",21,"22:25","22",0.87,"Mid evening"
"57",6758,"Airport",6,"Trip Completed",2016-07-15 00:03:00,2016-07-15 01:07:00,"2016/07/15","Friday","00:03",0,"01:07","01",1.07,"Early overnight"
"58",5741,"City",6,"Trip Completed",2016-07-15 07:52:00,2016-07-15 08:38:00,"2016/07/15","Friday","07:52",7,"08:38","08",0.77,"Early morning"
"59",6087,"Airport",6,"Trip Completed",2016-07-15 14:28:00,2016-07-15 15:33:00,"2016/07/15","Friday","14:28",14,"15:33","15",1.08,"Early afternoon"
"60",1039,"City",7,"Trip Completed",2016-07-11 19:31:00,2016-07-11 20:41:00,"2016/07/11","Monday","19:31",19,"20:41","20",1.17,"Early evening"
"61",1273,"Airport",7,"Trip Completed",2016-07-11 22:07:00,2016-07-11 23:12:00,"2016/07/11","Monday","22:07",22,"23:12","23",1.08,"Mid evening"
"62",2480,"City",7,"Trip Completed",2016-07-12 20:39:00,2016-07-12 21:28:00,"2016/07/12","Tuesday","20:39",20,"21:28","21",0.82,"Early evening"
"63",4105,"City",7,"Trip Completed",2016-07-14 03:39:00,2016-07-14 04:39:00,"2016/07/14","Thursday","03:39",3,"04:39","04",1,"Mid overnight"
"64",4509,"City",7,"Trip Completed",2016-07-14 09:11:00,2016-07-14 10:17:00,"2016/07/14","Thursday","09:11",9,"10:17","10",1.1,"Mid morning"
"65",4986,"Airport",7,"Trip Completed",2016-07-14 18:52:00,2016-07-14 19:50:00,"2016/07/14","Thursday","18:52",18,"19:50","19",0.97,"Late afternoon"
"66",5898,"City",7,"Trip Completed",2016-07-15 09:50:00,2016-07-15 10:40:00,"2016/07/15","Friday","09:50",9,"10:40","10",0.83,"Mid morning"
"67",6142,"Airport",7,"Trip Completed",2016-07-15 15:50:00,2016-07-15 16:36:00,"2016/07/15","Friday","15:50",15,"16:36","16",0.77,"Mid afternoon"
"68",380,"Airport",8,"Trip Completed",2016-07-11 08:18:00,2016-07-11 09:18:00,"2016/07/11","Monday","08:18",8,"09:18","09",1,"Early morning"
"69",1050,"Airport",8,"Trip Completed",2016-07-11 19:39:00,2016-07-11 20:30:00,"2016/07/11","Monday","19:39",19,"20:30","20",0.85,"Early evening"
"70",1769,"City",8,"Trip Completed",2016-07-12 08:57:00,2016-07-12 09:24:00,"2016/07/12","Tuesday","08:57",8,"09:24","09",0.45,"Early morning"
"71",2520,"City",8,"Trip Completed",2016-07-12 21:05:00,2016-07-12 22:20:00,"2016/07/12","Tuesday","21:05",21,"22:20","22",1.25,"Mid evening"
"72",3265,"Airport",8,"Trip Completed",2016-07-13 10:22:00,2016-07-13 11:07:00,"2016/07/13","Wednesday","10:22",10,"11:07","11",0.75,"Mid morning"
"73",4648,"City",8,"Trip Completed",2016-07-14 11:55:00,2016-07-14 12:59:00,"2016/07/14","Thursday","11:55",11,"12:59","12",1.07,"Late morning"
"74",449,"Airport",9,"Trip Completed",2016-07-11 09:08:00,2016-07-11 09:52:00,"2016/07/11","Monday","09:08",9,"09:52","09",0.73,"Mid morning"
"75",846,"Airport",9,"Trip Completed",2016-07-11 17:46:00,2016-07-11 18:52:00,"2016/07/11","Monday","17:46",17,"18:52","18",1.1,"Late afternoon"
"76",1346,"Airport",9,"Trip Completed",2016-07-11 23:39:00,2016-07-12 00:23:00,"2016/07/11","Monday","23:39",23,"00:23","00",0.73,"Late evening"
"77",1474,"Airport",9,"Trip Completed",2016-07-12 05:13:00,2016-07-12 05:56:00,"2016/07/12","Tuesday","05:13",5,"05:56","05",0.72,"Late overnight"
"78",2240,"City",9,"Trip Completed",2016-07-12 18:20:00,2016-07-12 18:54:00,"2016/07/12","Tuesday","18:20",18,"18:54","18",0.57,"Late afternoon"
"79",3072,"Airport",9,"Trip Completed",2016-07-13 08:04:00,2016-07-13 08:36:00,"2016/07/13","Wednesday","08:04",8,"08:36","08",0.53,"Early morning"
"80",3459,"Airport",9,"Trip Completed",2016-07-13 17:03:00,2016-07-13 17:31:00,"2016/07/13","Wednesday","17:03",17,"17:31","17",0.47,"Late afternoon"
"81",3774,"Airport",9,"Trip Completed",2016-07-13 20:41:00,2016-07-13 21:27:00,"2016/07/13","Wednesday","20:41",20,"21:27","21",0.77,"Early evening"
"82",4023,"City",9,"Trip Completed",2016-07-13 23:58:00,2016-07-14 00:58:00,"2016/07/13","Wednesday","23:58",23,"00:58","00",1,"Late evening"
"83",4117,"City",9,"Trip Completed",2016-07-14 04:21:00,2016-07-14 05:07:00,"2016/07/14","Thursday","04:21",4,"05:07","05",0.77,"Mid overnight"
"84",4880,"Airport",9,"Trip Completed",2016-07-14 17:58:00,2016-07-14 19:02:00,"2016/07/14","Thursday","17:58",17,"19:02","19",1.07,"Late afternoon"
"85",5568,"Airport",9,"Trip Completed",2016-07-15 05:47:00,2016-07-15 06:25:00,"2016/07/15","Friday","05:47",5,"06:25","06",0.63,"Late overnight"
"86",5994,"Airport",9,"Trip Completed",2016-07-15 11:51:00,2016-07-15 12:32:00,"2016/07/15","Friday","11:51",11,"12:32","12",0.68,"Late morning"
"87",1809,"Airport",10,"Trip Completed",2016-07-12 09:13:00,2016-07-12 10:01:00,"2016/07/12","Tuesday","09:13",9,"10:01","10",0.8,"Mid morning"
"88",2064,"Airport",10,"Trip Completed",2016-07-12 15:08:00,2016-07-12 16:14:00,"2016/07/12","Tuesday","15:08",15,"16:14","16",1.1,"Mid afternoon"
"89",3210,"City",10,"Trip Completed",2016-07-13 09:47:00,2016-07-13 10:52:00,"2016/07/13","Wednesday","09:47",9,"10:52","10",1.08,"Mid morning"
"90",4350,"City",10,"Trip Completed",2016-07-14 07:24:00,2016-07-14 08:22:00,"2016/07/14","Thursday","07:24",7,"08:22","08",0.97,"Early morning"
"91",4713,"City",10,"Trip Completed",2016-07-14 13:31:00,2016-07-14 14:10:00,"2016/07/14","Thursday","13:31",13,"14:10","14",0.65,"Early afternoon"
"92",5629,"Airport",10,"Trip Completed",2016-07-15 06:33:00,2016-07-15 07:19:00,"2016/07/15","Friday","06:33",6,"07:19","07",0.77,"Late overnight"
"93",6157,"Airport",10,"Trip Completed",2016-07-15 16:32:00,2016-07-15 17:44:00,"2016/07/15","Friday","16:32",16,"17:44","17",1.2,"Mid afternoon"
"94",2030,"City",11,"Trip Completed",2016-07-12 14:11:00,2016-07-12 15:02:00,"2016/07/12","Tuesday","14:11",14,"15:02","15",0.85,"Early afternoon"
"95",3226,"City",11,"Trip Completed",2016-07-13 10:00:00,2016-07-13 11:02:00,"2016/07/13","Wednesday","10:00",10,"11:02","11",1.03,"Mid morning"
"96",3353,"City",11,"Trip Completed",2016-07-13 13:29:00,2016-07-13 14:09:00,"2016/07/13","Wednesday","13:29",13,"14:09","14",0.67,"Early afternoon"
"97",4293,"City",11,"Trip Completed",2016-07-14 06:42:00,2016-07-14 07:12:00,"2016/07/14","Thursday","06:42",6,"07:12","07",0.5,"Late overnight"
"98",4936,"City",11,"Trip Completed",2016-07-14 18:22:00,2016-07-14 19:14:00,"2016/07/14","Thursday","18:22",18,"19:14","19",0.87,"Late afternoon"
"99",5661,"Airport",11,"Trip Completed",2016-07-15 07:08:00,2016-07-15 07:59:00,"2016/07/15","Friday","07:08",7,"07:59","07",0.85,"Early morning"
"100",5778,"City",11,"Trip Completed",2016-07-15 08:22:00,2016-07-15 09:13:00,"2016/07/15","Friday","08:22",8,"09:13","09",0.85,"Early morning"
"101",6425,"Airport",11,"Trip Completed",2016-07-15 19:46:00,2016-07-15 20:26:00,"2016/07/15","Friday","19:46",19,"20:26","20",0.67,"Early evening"
"102",45,"Airport",12,"Trip Completed",2016-07-11 03:17:00,2016-07-11 04:09:00,"2016/07/11","Monday","03:17",3,"04:09","04",0.87,"Mid overnight"
"103",264,"City",12,"Trip Completed",2016-07-11 06:51:00,2016-07-11 07:40:00,"2016/07/11","Monday","06:51",6,"07:40","07",0.82,"Late overnight"
"104",1183,"City",12,"Trip Completed",2016-07-11 21:05:00,2016-07-11 21:38:00,"2016/07/11","Monday","21:05",21,"21:38","21",0.55,"Mid evening"
"105",1536,"Airport",12,"Trip Completed",2016-07-12 05:59:00,2016-07-12 06:59:00,"2016/07/12","Tuesday","05:59",5,"06:59","06",1,"Late overnight"
"106",2437,"City",12,"Trip Completed",2016-07-12 20:18:00,2016-07-12 21:26:00,"2016/07/12","Tuesday","20:18",20,"21:26","21",1.13,"Early evening"
"107",2641,"Airport",12,"Trip Completed",2016-07-12 22:28:00,2016-07-12 23:05:00,"2016/07/12","Tuesday","22:28",22,"23:05","23",0.62,"Mid evening"
"108",4077,"Airport",12,"Trip Completed",2016-07-14 02:14:00,2016-07-14 03:13:00,"2016/07/14","Thursday","02:14",2,"03:13","03",0.98,"Early overnight"
"109",4610,"City",12,"Trip Completed",2016-07-14 10:35:00,2016-07-14 11:39:00,"2016/07/14","Thursday","10:35",10,"11:39","11",1.07,"Mid morning"
"110",5066,"Airport",12,"Trip Completed",2016-07-14 19:31:00,2016-07-14 20:14:00,"2016/07/14","Thursday","19:31",19,"20:14","20",0.72,"Early evening"
"111",5666,"Airport",12,"Trip Completed",2016-07-15 07:04:00,2016-07-15 08:12:00,"2016/07/15","Friday","07:04",7,"08:12","08",1.13,"Early morning"
"112",5923,"City",12,"Trip Completed",2016-07-15 10:07:00,2016-07-15 10:50:00,"2016/07/15","Friday","10:07",10,"10:50","10",0.72,"Mid morning"
"113",6367,"City",12,"Trip Completed",2016-07-15 19:04:00,2016-07-15 19:46:00,"2016/07/15","Friday","19:04",19,"19:46","19",0.7,"Early evening"
"114",155,"City",13,"Trip Completed",2016-07-11 05:32:00,2016-07-11 06:28:00,"2016/07/11","Monday","05:32",5,"06:28","06",0.93,"Late overnight"
"115",310,"Airport",13,"Trip Completed",2016-07-11 07:24:00,2016-07-11 08:28:00,"2016/07/11","Monday","07:24",7,"08:28","08",1.07,"Early morning"
"116",607,"City",13,"Trip Completed",2016-07-11 11:51:00,2016-07-11 12:42:00,"2016/07/11","Monday","11:51",11,"12:42","12",0.85,"Late morning"
"117",1012,"City",13,"Trip Completed",2016-07-11 19:15:00,2016-07-11 19:57:00,"2016/07/11","Monday","19:15",19,"19:57","19",0.7,"Early evening"
"118",1696,"Airport",13,"Trip Completed",2016-07-12 08:01:00,2016-07-12 08:42:00,"2016/07/12","Tuesday","08:01",8,"08:42","08",0.68,"Early morning"
"119",3076,"City",13,"Trip Completed",2016-07-13 08:09:00,2016-07-13 09:12:00,"2016/07/13","Wednesday","08:09",8,"09:12","09",1.05,"Early morning"
"120",4198,"Airport",13,"Trip Completed",2016-07-14 05:32:00,2016-07-14 06:45:00,"2016/07/14","Thursday","05:32",5,"06:45","06",1.22,"Late overnight"
"121",4627,"City",13,"Trip Completed",2016-07-14 11:13:00,2016-07-14 12:00:00,"2016/07/14","Thursday","11:13",11,"12:00","12",0.78,"Late morning"
"122",5289,"City",13,"Trip Completed",2016-07-14 21:43:00,2016-07-14 22:24:00,"2016/07/14","Thursday","21:43",21,"22:24","22",0.68,"Mid evening"
"123",5495,"Airport",13,"Trip Completed",2016-07-15 05:00:00,2016-07-15 06:02:00,"2016/07/15","Friday","05:00",5,"06:02","06",1.03,"Late overnight"
"124",6656,"Airport",13,"Trip Completed",2016-07-15 22:08:00,2016-07-15 22:41:00,"2016/07/15","Friday","22:08",22,"22:41","22",0.55,"Mid evening"
"125",139,"Airport",14,"Trip Completed",2016-07-11 05:21:00,2016-07-11 06:09:00,"2016/07/11","Monday","05:21",5,"06:09","06",0.8,"Late overnight"
"126",215,"City",14,"Trip Completed",2016-07-11 06:15:00,2016-07-11 07:07:00,"2016/07/11","Monday","06:15",6,"07:07","07",0.87,"Late overnight"
"127",1816,"City",14,"Trip Completed",2016-07-12 09:24:00,2016-07-12 10:07:00,"2016/07/12","Tuesday","09:24",9,"10:07","10",0.72,"Mid morning"
"128",2505,"Airport",14,"Trip Completed",2016-07-12 21:03:00,2016-07-12 22:14:00,"2016/07/12","Tuesday","21:03",21,"22:14","22",1.18,"Mid evening"
"129",3346,"City",14,"Trip Completed",2016-07-13 13:01:00,2016-07-13 13:55:00,"2016/07/13","Wednesday","13:01",13,"13:55","13",0.9,"Early afternoon"
"130",5294,"City",14,"Trip Completed",2016-07-14 21:45:00,2016-07-14 22:16:00,"2016/07/14","Thursday","21:45",21,"22:16","22",0.52,"Mid evening"
"131",6226,"Airport",14,"Trip Completed",2016-07-15 17:34:00,2016-07-15 18:33:00,"2016/07/15","Friday","17:34",17,"18:33","18",0.98,"Late afternoon"
"132",6733,"Airport",14,"Trip Completed",2016-07-15 23:32:00,2016-07-16 00:37:00,"2016/07/15","Friday","23:32",23,"00:37","00",1.08,"Late evening"
"133",1027,"Airport",15,"Trip Completed",2016-07-11 19:18:00,2016-07-11 20:24:00,"2016/07/11","Monday","19:18",19,"20:24","20",1.1,"Early evening"
"134",2675,"Airport",15,"Trip Completed",2016-07-12 23:43:00,2016-07-13 00:35:00,"2016/07/12","Tuesday","23:43",23,"00:35","00",0.87,"Late evening"
"135",3200,"City",15,"Trip Completed",2016-07-13 09:39:00,2016-07-13 10:30:00,"2016/07/13","Wednesday","09:39",9,"10:30","10",0.85,"Mid morning"
"136",3865,"City",15,"Trip Completed",2016-07-13 21:52:00,2016-07-13 22:21:00,"2016/07/13","Wednesday","21:52",21,"22:21","22",0.48,"Mid evening"
"137",4468,"City",15,"Trip Completed",2016-07-14 08:42:00,2016-07-14 09:22:00,"2016/07/14","Thursday","08:42",8,"09:22","09",0.67,"Early morning"
"138",5163,"Airport",15,"Trip Completed",2016-07-14 20:34:00,2016-07-14 21:05:00,"2016/07/14","Thursday","20:34",20,"21:05","21",0.52,"Early evening"
"139",6009,"City",15,"Trip Completed",2016-07-15 12:22:00,2016-07-15 13:25:00,"2016/07/15","Friday","12:22",12,"13:25","13",1.05,"Late morning"
"140",6448,"Airport",15,"Trip Completed",2016-07-15 20:02:00,2016-07-15 20:40:00,"2016/07/15","Friday","20:02",20,"20:40","20",0.63,"Early evening"
"141",591,"City",16,"Trip Completed",2016-07-11 11:25:00,2016-07-11 12:31:00,"2016/07/11","Monday","11:25",11,"12:31","12",1.1,"Late morning"
"142",709,"City",16,"Trip Completed",2016-07-11 14:16:00,2016-07-11 15:03:00,"2016/07/11","Monday","14:16",14,"15:03","15",0.78,"Early afternoon"
"143",1167,"Airport",16,"Trip Completed",2016-07-11 20:50:00,2016-07-11 21:52:00,"2016/07/11","Monday","20:50",20,"21:52","21",1.03,"Early evening"
"144",2661,"Airport",16,"Trip Completed",2016-07-12 23:23:00,2016-07-13 00:27:00,"2016/07/12","Tuesday","23:23",23,"00:27","00",1.07,"Late evening"
"145",2808,"City",16,"Trip Completed",2016-07-13 05:05:00,2016-07-13 05:56:00,"2016/07/13","Wednesday","05:05",5,"05:56","05",0.85,"Late overnight"
"146",3258,"Airport",16,"Trip Completed",2016-07-13 10:12:00,2016-07-13 10:45:00,"2016/07/13","Wednesday","10:12",10,"10:45","10",0.55,"Mid morning"
"147",3413,"Airport",16,"Trip Completed",2016-07-13 15:32:00,2016-07-13 16:45:00,"2016/07/13","Wednesday","15:32",15,"16:45","16",1.22,"Mid afternoon"
"148",3939,"Airport",16,"Trip Completed",2016-07-13 22:26:00,2016-07-13 22:55:00,"2016/07/13","Wednesday","22:26",22,"22:55","22",0.48,"Mid evening"
"149",4125,"City",16,"Trip Completed",2016-07-14 04:37:00,2016-07-14 05:46:00,"2016/07/14","Thursday","04:37",4,"05:46","05",1.15,"Mid overnight"
"150",4457,"City",16,"Trip Completed",2016-07-14 08:36:00,2016-07-14 09:19:00,"2016/07/14","Thursday","08:36",8,"09:19","09",0.72,"Early morning"
"151",4728,"City",16,"Trip Completed",2016-07-14 14:04:00,2016-07-14 15:06:00,"2016/07/14","Thursday","14:04",14,"15:06","15",1.03,"Early afternoon"
"152",5347,"Airport",16,"Trip Completed",2016-07-14 22:51:00,2016-07-14 23:53:00,"2016/07/14","Thursday","22:51",22,"23:53","23",1.03,"Mid evening"
"153",6147,"City",16,"Trip Completed",2016-07-15 16:11:00,2016-07-15 17:30:00,"2016/07/15","Friday","16:11",16,"17:30","17",1.32,"Mid afternoon"
"154",6496,"Airport",16,"Trip Completed",2016-07-15 20:33:00,2016-07-15 21:32:00,"2016/07/15","Friday","20:33",20,"21:32","21",0.98,"Early evening"
"155",634,"City",17,"Trip Completed",2016-07-11 12:25:00,2016-07-11 13:06:00,"2016/07/11","Monday","12:25",12,"13:06","13",0.68,"Late morning"
"156",939,"Airport",17,"Trip Completed",2016-07-11 18:25:00,2016-07-11 19:26:00,"2016/07/11","Monday","18:25",18,"19:26","19",1.02,"Late afternoon"
"157",2628,"Airport",17,"Trip Completed",2016-07-12 22:10:00,2016-07-12 23:25:00,"2016/07/12","Tuesday","22:10",22,"23:25","23",1.25,"Mid evening"
"158",3021,"City",17,"Trip Completed",2016-07-13 07:33:00,2016-07-13 08:26:00,"2016/07/13","Wednesday","07:33",7,"08:26","08",0.88,"Early morning"
"159",4743,"City",17,"Trip Completed",2016-07-14 14:54:00,2016-07-14 15:39:00,"2016/07/14","Thursday","14:54",14,"15:39","15",0.75,"Early afternoon"
"160",4981,"City",17,"Trip Completed",2016-07-14 18:47:00,2016-07-14 19:43:00,"2016/07/14","Thursday","18:47",18,"19:43","19",0.93,"Late afternoon"
"161",5367,"Airport",17,"Trip Completed",2016-07-14 23:35:00,2016-07-15 00:25:00,"2016/07/14","Thursday","23:35",23,"00:25","00",0.83,"Late evening"
"162",5471,"Airport",17,"Trip Completed",2016-07-15 04:48:00,2016-07-15 05:47:00,"2016/07/15","Friday","04:48",4,"05:47","05",0.98,"Mid overnight"
"163",5988,"Airport",17,"Trip Completed",2016-07-15 11:48:00,2016-07-15 12:55:00,"2016/07/15","Friday","11:48",11,"12:55","12",1.12,"Late morning"
"164",6477,"Airport",17,"Trip Completed",2016-07-15 20:21:00,2016-07-15 21:00:00,"2016/07/15","Friday","20:21",20,"21:00","21",0.65,"Early evening"
